Day,Fitness,Cost,Kalori,Protein,Karbo
Senin,0.0541781211888565,18390.26803403722,1792.4663038558629,75.64091501900899,303.29597275957946
Selasa,0.05474469049718888,17490.008462065172,1787.3346982128276,99.39052973951284,351.20603854723976
Rabu,0.06553259577369643,15235.75792496827,1797.683685016699,102.97643351384893,253.98665349824927
Kamis,0.036304003571060554,25743.63687101425,1790.7805385249194,101.12249052772789,271.7979647334926
Jumat,0.05532279177294702,17971.658124230154,1798.0896938261594,92.52114314821446,232.62735505977452
Sabtu,0.061624811620367016,16008.78819886316,1794.4272113214893,77.76312517542812,369.7820015527383
Minggu,0.054461297692059846,18246.21079987352,1798.184077647535,79.88551933286539,307.1979970830793
