Day,Fitness,Cost,Kalori,Protein,Karbo
Senin,0.05714166442743336,16700.736049268275,1849.58510296679,82.13358012859105,199.6495342388083
Selasa,0.06164917392676294,16061.511375854732,1808.2961985327534,65.97666753452371,227.02855862647604
Rabu,0.05645193955443839,17498.949809785052,1911.3918182035327,60.984456950791454,288.51469793699897
Kamis,0.06080902719312702,16361.442104347781,1796.7080726876432,80.30820995603274,307.55659616383485
Jumat,0.05908824475907175,16913.20694287341,1803.2098735562633,86.91715686649444,335.5283747883794
Sabtu,0.06068903992588796,16431.41965631871,1797.416611422785,86.37329450876118,315.4819560213496
Minggu,0.051740164181906356,18813.492615721985,1785.593386107244,57.390893594594274,235.84169974511968
