Day,Fitness,Cost,Kalori,Protein,Karbo
Senin,0.05350576120069433,18467.111734707418,1800.1506739228826,75.80051347424711,304.9510678509376
Selasa,0.05497485276692663,17598.42550995061,1795.34740661735,98.84316998025368,352.70698372179163
Rabu,0.06447453694060476,15259.38433779794,1800.0463262996661,103.02550375587978,254.49553008227295
Kamis,0.03597355293245229,25837.67537806007,1800.1843892295017,101.31780127313075,273.8234095006334
Jumat,0.048810950428139266,18813.86207544401,1882.3100889475445,94.27033596996631,250.76713247053442
Sabtu,0.04554386482906475,16852.074148078387,1728.9234175768,79.28405385661941,350.371730685693
Minggu,0.05441006857985872,18264.733207868663,1800.0363184470493,79.92398894947068,307.5969412552824
